i1	I(I_out1)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	3.127497e-002
1.000000000000000e-001	6.254993e-002
1.500000000000000e-001	9.382490e-002
2.000000000000000e-001	1.250999e-001
2.500000000000000e-001	1.563748e-001
3.000000000000000e-001	1.876498e-001
3.500000000000000e-001	2.189248e-001
4.000000000000000e-001	2.501997e-001
4.500000000000000e-001	2.814747e-001
4.999999999999999e-001	3.127497e-001
5.499999999999999e-001	3.440246e-001
6.000000000000000e-001	3.752996e-001
6.500000000000000e-001	4.065746e-001
7.000000000000001e-001	4.378496e-001
7.500000000000001e-001	4.691245e-001
8.000000000000002e-001	5.003995e-001
8.500000000000002e-001	5.316744e-001
9.000000000000002e-001	5.629494e-001
9.500000000000003e-001	5.942244e-001
1.000000000000000e+000	6.254994e-001
