v1	I(V2)	I(V3)	I(V4)	I(V5)
Step Information: Run=1  (Run: 1/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.334058e-005	1.663349e-005	8.304945e-006	4.142846e-006
6.660000000000000e-001	6.668117e-005	3.326697e-005	1.660989e-005	8.285691e-006
9.990000000000001e-001	1.000218e-004	4.990046e-005	2.491484e-005	1.242854e-005
1.000000000000000e+000	1.001219e-004	4.995041e-005	2.493977e-005	1.244098e-005
Step Information: Run=2  (Run: 2/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.331642e-005	1.659317e-005	8.304341e-006	4.177264e-006
6.660000000000000e-001	6.663283e-005	3.318635e-005	1.660868e-005	8.354528e-006
9.990000000000001e-001	9.994925e-005	4.977952e-005	2.491302e-005	1.253179e-005
1.000000000000000e+000	1.000493e-004	4.982935e-005	2.493796e-005	1.254434e-005
Step Information: Run=3  (Run: 3/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.325795e-005	1.665488e-005	8.338680e-006	4.163530e-006
6.660000000000000e-001	6.651591e-005	3.330976e-005	1.667736e-005	8.327060e-006
9.990000000000001e-001	9.977387e-005	4.996464e-005	2.501604e-005	1.249059e-005
1.000000000000000e+000	9.987374e-005	5.001466e-005	2.504108e-005	1.250309e-005
Step Information: Run=4  (Run: 4/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.327079e-005	1.666694e-005	8.326588e-006	4.165845e-006
6.660000000000000e-001	6.654159e-005	3.333388e-005	1.665318e-005	8.331691e-006
9.990000000000001e-001	9.981238e-005	5.000081e-005	2.497976e-005	1.249754e-005
1.000000000000000e+000	9.991229e-005	5.005086e-005	2.500477e-005	1.251005e-005
Step Information: Run=5  (Run: 5/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.326628e-005	1.666104e-005	8.313304e-006	4.157769e-006
6.660000000000000e-001	6.653256e-005	3.332209e-005	1.662661e-005	8.315537e-006
9.990000000000001e-001	9.979884e-005	4.998313e-005	2.493991e-005	1.247331e-005
1.000000000000000e+000	9.989874e-005	5.003316e-005	2.496488e-005	1.248579e-005
Step Information: Run=6  (Run: 6/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.320229e-005	1.666972e-005	8.329363e-006	4.168654e-006
6.660000000000000e-001	6.640459e-005	3.333944e-005	1.665873e-005	8.337307e-006
9.990000000000001e-001	9.960688e-005	5.000916e-005	2.498809e-005	1.250596e-005
1.000000000000000e+000	9.970658e-005	5.005922e-005	2.501310e-005	1.251848e-005
Step Information: Run=7  (Run: 7/500)
0.000000000000000e+000	0.000000e+000	0.000000e+000	0.000000e+000	0.000000e+000
3.330000000000000e-001	3.334914e-005	1.660096e-005	8.342501e-006	4.156011e-006
