v1	V(v_out)
Step Information: Run=1  (Run: 1/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.877495e-002
1.000000000000000e-001	3.754991e-002
1.500000000000000e-001	5.632486e-002
2.000000000000000e-001	7.509981e-002
2.500000000000000e-001	9.387476e-002
3.000000000000000e-001	1.126497e-001
3.500000000000000e-001	1.314247e-001
4.000000000000000e-001	1.501996e-001
4.500000000000000e-001	1.689746e-001
4.999999999999999e-001	1.877495e-001
5.499999999999999e-001	2.065245e-001
6.000000000000000e-001	2.252994e-001
6.500000000000000e-001	2.440744e-001
7.000000000000001e-001	2.628493e-001
7.500000000000001e-001	2.816243e-001
8.000000000000002e-001	3.003992e-001
8.500000000000002e-001	3.191742e-001
9.000000000000002e-001	3.379491e-001
9.500000000000003e-001	3.567241e-001
1.000000000000000e+000	3.754990e-001
Step Information: Run=2  (Run: 2/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.875070e-002
1.000000000000000e-001	3.750141e-002
1.500000000000000e-001	5.625211e-002
2.000000000000000e-001	7.500281e-002
2.500000000000000e-001	9.375352e-002
3.000000000000000e-001	1.125042e-001
3.500000000000000e-001	1.312549e-001
4.000000000000000e-001	1.500056e-001
4.500000000000000e-001	1.687563e-001
4.999999999999999e-001	1.875070e-001
5.499999999999999e-001	2.062577e-001
6.000000000000000e-001	2.250084e-001
6.500000000000000e-001	2.437591e-001
7.000000000000001e-001	2.625099e-001
7.500000000000001e-001	2.812606e-001
8.000000000000002e-001	3.000112e-001
8.500000000000002e-001	3.187619e-001
9.000000000000002e-001	3.375126e-001
9.500000000000003e-001	3.562634e-001
1.000000000000000e+000	3.750141e-001
Step Information: Run=3  (Run: 3/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.874623e-002
1.000000000000000e-001	3.749247e-002
1.500000000000000e-001	5.623870e-002
2.000000000000000e-001	7.498493e-002
2.500000000000000e-001	9.373116e-002
3.000000000000000e-001	1.124774e-001
3.500000000000000e-001	1.312236e-001
4.000000000000000e-001	1.499699e-001
4.500000000000000e-001	1.687161e-001
4.999999999999999e-001	1.874623e-001
5.499999999999999e-001	2.062086e-001
6.000000000000000e-001	2.249548e-001
6.500000000000000e-001	2.437010e-001
7.000000000000001e-001	2.624473e-001
7.500000000000001e-001	2.811935e-001
8.000000000000002e-001	2.999397e-001
8.500000000000002e-001	3.186859e-001
9.000000000000002e-001	3.374322e-001
9.500000000000003e-001	3.561784e-001
1.000000000000000e+000	3.749247e-001
Step Information: Run=4  (Run: 4/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.876514e-002
1.000000000000000e-001	3.753028e-002
1.500000000000000e-001	5.629542e-002
2.000000000000000e-001	7.506056e-002
2.500000000000000e-001	9.382570e-002
3.000000000000000e-001	1.125908e-001
3.500000000000000e-001	1.313560e-001
4.000000000000000e-001	1.501211e-001
4.500000000000000e-001	1.688863e-001
4.999999999999999e-001	1.876514e-001
5.499999999999999e-001	2.064165e-001
6.000000000000000e-001	2.251817e-001
6.500000000000000e-001	2.439468e-001
7.000000000000001e-001	2.627120e-001
7.500000000000001e-001	2.814771e-001
8.000000000000002e-001	3.002422e-001
8.500000000000002e-001	3.190074e-001
9.000000000000002e-001	3.377725e-001
9.500000000000003e-001	3.565377e-001
1.000000000000000e+000	3.753028e-001
Step Information: Run=5  (Run: 5/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.874377e-002
1.000000000000000e-001	3.748753e-002
1.500000000000000e-001	5.623130e-002
2.000000000000000e-001	7.497507e-002
2.500000000000000e-001	9.371883e-002
3.000000000000000e-001	1.124626e-001
3.500000000000000e-001	1.312064e-001
4.000000000000000e-001	1.499501e-001
4.500000000000000e-001	1.686939e-001
4.999999999999999e-001	1.874377e-001
5.499999999999999e-001	2.061814e-001
6.000000000000000e-001	2.249252e-001
6.500000000000000e-001	2.436690e-001
7.000000000000001e-001	2.624127e-001
7.500000000000001e-001	2.811565e-001
8.000000000000002e-001	2.999003e-001
8.500000000000002e-001	3.186440e-001
9.000000000000002e-001	3.373878e-001
9.500000000000003e-001	3.561316e-001
1.000000000000000e+000	3.748753e-001
Step Information: Run=6  (Run: 6/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.874755e-002
1.000000000000000e-001	3.749510e-002
1.500000000000000e-001	5.624266e-002
2.000000000000000e-001	7.499021e-002
2.500000000000000e-001	9.373776e-002
3.000000000000000e-001	1.124853e-001
3.500000000000000e-001	1.312329e-001
4.000000000000000e-001	1.499804e-001
4.500000000000000e-001	1.687280e-001
4.999999999999999e-001	1.874755e-001
5.499999999999999e-001	2.062231e-001
6.000000000000000e-001	2.249706e-001
6.500000000000000e-001	2.437182e-001
7.000000000000001e-001	2.624657e-001
7.500000000000001e-001	2.812133e-001
8.000000000000002e-001	2.999608e-001
8.500000000000002e-001	3.187084e-001
9.000000000000002e-001	3.374559e-001
9.500000000000003e-001	3.562035e-001
1.000000000000000e+000	3.749510e-001
Step Information: Run=7  (Run: 7/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.877236e-002
1.000000000000000e-001	3.754472e-002
1.500000000000000e-001	5.631707e-002
2.000000000000000e-001	7.508943e-002
2.500000000000000e-001	9.386179e-002
3.000000000000000e-001	1.126341e-001
3.500000000000000e-001	1.314065e-001
4.000000000000000e-001	1.501789e-001
4.500000000000000e-001	1.689512e-001
4.999999999999999e-001	1.877236e-001
5.499999999999999e-001	2.064959e-001
6.000000000000000e-001	2.252683e-001
6.500000000000000e-001	2.440407e-001
7.000000000000001e-001	2.628130e-001
7.500000000000001e-001	2.815854e-001
8.000000000000002e-001	3.003577e-001
8.500000000000002e-001	3.191301e-001
9.000000000000002e-001	3.379025e-001
9.500000000000003e-001	3.566748e-001
1.000000000000000e+000	3.754472e-001
Step Information: Run=8  (Run: 8/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.877331e-002
1.000000000000000e-001	3.754662e-002
1.500000000000000e-001	5.631993e-002
2.000000000000000e-001	7.509325e-002
2.500000000000000e-001	9.386656e-002
3.000000000000000e-001	1.126399e-001
3.500000000000000e-001	1.314132e-001
4.000000000000000e-001	1.501865e-001
4.500000000000000e-001	1.689598e-001
4.999999999999999e-001	1.877331e-001
5.499999999999999e-001	2.065064e-001
6.000000000000000e-001	2.252797e-001
6.500000000000000e-001	2.440531e-001
7.000000000000001e-001	2.628264e-001
7.500000000000001e-001	2.815997e-001
8.000000000000002e-001	3.003730e-001
8.500000000000002e-001	3.191463e-001
9.000000000000002e-001	3.379196e-001
9.500000000000003e-001	3.566929e-001
1.000000000000000e+000	3.754662e-001
Step Information: Run=9  (Run: 9/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.874452e-002
1.000000000000000e-001	3.748905e-002
1.500000000000000e-001	5.623357e-002
2.000000000000000e-001	7.497810e-002
2.500000000000000e-001	9.372262e-002
3.000000000000000e-001	1.124671e-001
3.500000000000000e-001	1.312117e-001
4.000000000000000e-001	1.499562e-001
4.500000000000000e-001	1.687007e-001
4.999999999999999e-001	1.874452e-001
5.499999999999999e-001	2.061898e-001
6.000000000000000e-001	2.249343e-001
6.500000000000000e-001	2.436788e-001
7.000000000000001e-001	2.624233e-001
7.500000000000001e-001	2.811679e-001
8.000000000000002e-001	2.999124e-001
8.500000000000002e-001	3.186569e-001
9.000000000000002e-001	3.374014e-001
9.500000000000003e-001	3.561460e-001
1.000000000000000e+000	3.748905e-001
Step Information: Run=10  (Run: 10/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.873977e-002
1.000000000000000e-001	3.747955e-002
1.500000000000000e-001	5.621932e-002
2.000000000000000e-001	7.495910e-002
2.500000000000000e-001	9.369887e-002
3.000000000000000e-001	1.124386e-001
3.500000000000000e-001	1.311784e-001
4.000000000000000e-001	1.499182e-001
4.500000000000000e-001	1.686580e-001
4.999999999999999e-001	1.873977e-001
5.499999999999999e-001	2.061375e-001
6.000000000000000e-001	2.248773e-001
6.500000000000000e-001	2.436171e-001
7.000000000000001e-001	2.623568e-001
7.500000000000001e-001	2.810966e-001
8.000000000000002e-001	2.998364e-001
8.500000000000002e-001	3.185762e-001
9.000000000000002e-001	3.373159e-001
9.500000000000003e-001	3.560557e-001
1.000000000000000e+000	3.747955e-001
Step Information: Run=11  (Run: 11/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.876031e-002
1.000000000000000e-001	3.752062e-002
1.500000000000000e-001	5.628093e-002
2.000000000000000e-001	7.504124e-002
2.500000000000000e-001	9.380155e-002
3.000000000000000e-001	1.125619e-001
3.500000000000000e-001	1.313222e-001
4.000000000000000e-001	1.500825e-001
4.500000000000000e-001	1.688428e-001
4.999999999999999e-001	1.876031e-001
5.499999999999999e-001	2.063634e-001
6.000000000000000e-001	2.251237e-001
6.500000000000000e-001	2.438840e-001
7.000000000000001e-001	2.626444e-001
7.500000000000001e-001	2.814046e-001
8.000000000000002e-001	3.001650e-001
8.500000000000002e-001	3.189253e-001
9.000000000000002e-001	3.376856e-001
9.500000000000003e-001	3.564459e-001
1.000000000000000e+000	3.752062e-001
Step Information: Run=12  (Run: 12/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.873959e-002
1.000000000000000e-001	3.747918e-002
1.500000000000000e-001	5.621877e-002
2.000000000000000e-001	7.495836e-002
