v1	V(v_out)
Step Information: Run=1  (Run: 1/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.874830e-002
1.000000000000000e-001	3.749661e-002
1.500000000000000e-001	5.624491e-002
2.000000000000000e-001	7.499322e-002
2.500000000000000e-001	9.374152e-002
3.000000000000000e-001	1.124898e-001
3.500000000000000e-001	1.312381e-001
4.000000000000000e-001	1.499864e-001
4.500000000000000e-001	1.687347e-001
4.999999999999999e-001	1.874830e-001
5.499999999999999e-001	2.062313e-001
6.000000000000000e-001	2.249797e-001
6.500000000000000e-001	2.437280e-001
7.000000000000001e-001	2.624763e-001
7.500000000000001e-001	2.812245e-001
8.000000000000002e-001	2.999729e-001
8.500000000000002e-001	3.187212e-001
9.000000000000002e-001	3.374695e-001
9.500000000000003e-001	3.562178e-001
1.000000000000000e+000	3.749661e-001
Step Information: Run=2  (Run: 2/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.873192e-002
1.000000000000000e-001	3.746384e-002
1.500000000000000e-001	5.619577e-002
2.000000000000000e-001	7.492769e-002
2.500000000000000e-001	9.365961e-002
3.000000000000000e-001	1.123915e-001
3.500000000000000e-001	1.311235e-001
4.000000000000000e-001	1.498554e-001
4.500000000000000e-001	1.685873e-001
4.999999999999999e-001	1.873192e-001
5.499999999999999e-001	2.060511e-001
6.000000000000000e-001	2.247831e-001
6.500000000000000e-001	2.435150e-001
7.000000000000001e-001	2.622469e-001
7.500000000000001e-001	2.809788e-001
8.000000000000002e-001	2.997108e-001
8.500000000000002e-001	3.184427e-001
9.000000000000002e-001	3.371746e-001
9.500000000000003e-001	3.559065e-001
1.000000000000000e+000	3.746384e-001
Step Information: Run=3  (Run: 3/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.870251e-002
1.000000000000000e-001	3.740501e-002
1.500000000000000e-001	5.610751e-002
2.000000000000000e-001	7.481002e-002
2.500000000000000e-001	9.351253e-002
3.000000000000000e-001	1.122150e-001
3.500000000000000e-001	1.309175e-001
4.000000000000000e-001	1.496200e-001
4.500000000000000e-001	1.683225e-001
4.999999999999999e-001	1.870251e-001
5.499999999999999e-001	2.057276e-001
6.000000000000000e-001	2.244301e-001
6.500000000000000e-001	2.431326e-001
7.000000000000001e-001	2.618351e-001
7.500000000000001e-001	2.805376e-001
8.000000000000002e-001	2.992401e-001
8.500000000000002e-001	3.179426e-001
9.000000000000002e-001	3.366451e-001
9.500000000000003e-001	3.553476e-001
1.000000000000000e+000	3.740501e-001
Step Information: Run=4  (Run: 4/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.875619e-002
1.000000000000000e-001	3.751238e-002
1.500000000000000e-001	5.626858e-002
2.000000000000000e-001	7.502477e-002
2.500000000000000e-001	9.378096e-002
3.000000000000000e-001	1.125372e-001
3.500000000000000e-001	1.312933e-001
4.000000000000000e-001	1.500495e-001
4.500000000000000e-001	1.688057e-001
4.999999999999999e-001	1.875619e-001
5.499999999999999e-001	2.063181e-001
6.000000000000000e-001	2.250743e-001
6.500000000000000e-001	2.438305e-001
7.000000000000001e-001	2.625867e-001
7.500000000000001e-001	2.813429e-001
8.000000000000002e-001	3.000991e-001
8.500000000000002e-001	3.188553e-001
9.000000000000002e-001	3.376115e-001
9.500000000000003e-001	3.563676e-001
1.000000000000000e+000	3.751239e-001
Step Information: Run=5  (Run: 5/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.875163e-002
1.000000000000000e-001	3.750326e-002
1.500000000000000e-001	5.625490e-002
2.000000000000000e-001	7.500653e-002
2.500000000000000e-001	9.375817e-002
3.000000000000000e-001	1.125098e-001
3.500000000000000e-001	1.312614e-001
4.000000000000000e-001	1.500131e-001
4.500000000000000e-001	1.687647e-001
4.999999999999999e-001	1.875163e-001
5.499999999999999e-001	2.062680e-001
6.000000000000000e-001	2.250196e-001
6.500000000000000e-001	2.437712e-001
7.000000000000001e-001	2.625229e-001
7.500000000000001e-001	2.812745e-001
8.000000000000002e-001	3.000261e-001
8.500000000000002e-001	3.187778e-001
9.000000000000002e-001	3.375294e-001
9.500000000000003e-001	3.562810e-001
1.000000000000000e+000	3.750327e-001
Step Information: Run=6  (Run: 6/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.876428e-002
1.000000000000000e-001	3.752857e-002
1.500000000000000e-001	5.629285e-002
2.000000000000000e-001	7.505713e-002
2.500000000000000e-001	9.382141e-002
3.000000000000000e-001	1.125857e-001
3.500000000000000e-001	1.313500e-001
4.000000000000000e-001	1.501143e-001
4.500000000000000e-001	1.688785e-001
4.999999999999999e-001	1.876428e-001
5.499999999999999e-001	2.064071e-001
6.000000000000000e-001	2.251714e-001
6.500000000000000e-001	2.439357e-001
7.000000000000001e-001	2.627000e-001
7.500000000000001e-001	2.814642e-001
8.000000000000002e-001	3.002285e-001
8.500000000000002e-001	3.189928e-001
9.000000000000002e-001	3.377571e-001
9.500000000000003e-001	3.565214e-001
1.000000000000000e+000	3.752857e-001
Step Information: Run=7  (Run: 7/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.876331e-002
1.000000000000000e-001	3.752663e-002
1.500000000000000e-001	5.628994e-002
2.000000000000000e-001	7.505325e-002
2.500000000000000e-001	9.381657e-002
3.000000000000000e-001	1.125799e-001
3.500000000000000e-001	1.313432e-001
4.000000000000000e-001	1.501065e-001
4.500000000000000e-001	1.688698e-001
4.999999999999999e-001	1.876331e-001
5.499999999999999e-001	2.063964e-001
6.000000000000000e-001	2.251598e-001
6.500000000000000e-001	2.439231e-001
7.000000000000001e-001	2.626864e-001
7.500000000000001e-001	2.814497e-001
8.000000000000002e-001	3.002130e-001
8.500000000000002e-001	3.189763e-001
9.000000000000002e-001	3.377396e-001
9.500000000000003e-001	3.565030e-001
1.000000000000000e+000	3.752663e-001
Step Information: Run=8  (Run: 8/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.874452e-002
1.000000000000000e-001	3.748905e-002
1.500000000000000e-001	5.623357e-002
2.000000000000000e-001	7.497810e-002
2.500000000000000e-001	9.372262e-002
3.000000000000000e-001	1.124671e-001
3.500000000000000e-001	1.312117e-001
4.000000000000000e-001	1.499562e-001
4.500000000000000e-001	1.687007e-001
4.999999999999999e-001	1.874452e-001
5.499999999999999e-001	2.061898e-001
6.000000000000000e-001	2.249343e-001
6.500000000000000e-001	2.436788e-001
7.000000000000001e-001	2.624233e-001
7.500000000000001e-001	2.811679e-001
8.000000000000002e-001	2.999124e-001
8.500000000000002e-001	3.186569e-001
9.000000000000002e-001	3.374014e-001
9.500000000000003e-001	3.561460e-001
1.000000000000000e+000	3.748905e-001
Step Information: Run=9  (Run: 9/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.874659e-002
1.000000000000000e-001	3.749317e-002
1.500000000000000e-001	5.623976e-002
2.000000000000000e-001	7.498635e-002
2.500000000000000e-001	9.373294e-002
3.000000000000000e-001	1.124795e-001
3.500000000000000e-001	1.312261e-001
4.000000000000000e-001	1.499727e-001
4.500000000000000e-001	1.687193e-001
4.999999999999999e-001	1.874659e-001
5.499999999999999e-001	2.062125e-001
6.000000000000000e-001	2.249590e-001
6.500000000000000e-001	2.437056e-001
7.000000000000001e-001	2.624522e-001
7.500000000000001e-001	2.811988e-001
8.000000000000002e-001	2.999454e-001
8.500000000000002e-001	3.186920e-001
9.000000000000002e-001	3.374386e-001
9.500000000000003e-001	3.561852e-001
1.000000000000000e+000	3.749318e-001
Step Information: Run=10  (Run: 10/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.875169e-002
1.000000000000000e-001	3.750338e-002
1.500000000000000e-001	5.625506e-002
2.000000000000000e-001	7.500675e-002
2.500000000000000e-001	9.375844e-002
3.000000000000000e-001	1.125101e-001
3.500000000000000e-001	1.312618e-001
4.000000000000000e-001	1.500135e-001
4.500000000000000e-001	1.687652e-001
4.999999999999999e-001	1.875169e-001
5.499999999999999e-001	2.062686e-001
6.000000000000000e-001	2.250203e-001
6.500000000000000e-001	2.437719e-001
7.000000000000001e-001	2.625236e-001
7.500000000000001e-001	2.812753e-001
8.000000000000002e-001	3.000270e-001
8.500000000000002e-001	3.187787e-001
9.000000000000002e-001	3.375304e-001
9.500000000000003e-001	3.562821e-001
1.000000000000000e+000	3.750338e-001
Step Information: Run=11  (Run: 11/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.874506e-002
1.000000000000000e-001	3.749012e-002
1.500000000000000e-001	5.623518e-002
2.000000000000000e-001	7.498024e-002
2.500000000000000e-001	9.372530e-002
3.000000000000000e-001	1.124704e-001
3.500000000000000e-001	1.312154e-001
4.000000000000000e-001	1.499605e-001
4.500000000000000e-001	1.687055e-001
4.999999999999999e-001	1.874506e-001
5.499999999999999e-001	2.061957e-001
6.000000000000000e-001	2.249407e-001
6.500000000000000e-001	2.436858e-001
7.000000000000001e-001	2.624308e-001
7.500000000000001e-001	2.811759e-001
8.000000000000002e-001	2.999209e-001
8.500000000000002e-001	3.186660e-001
9.000000000000002e-001	3.374111e-001
9.500000000000003e-001	3.561561e-001
1.000000000000000e+000	3.749012e-001
Step Information: Run=12  (Run: 12/500)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.875023e-002
1.000000000000000e-001	3.750045e-002
1.500000000000000e-001	5.625068e-002
2.000000000000000e-001	7.500090e-002
