I1	IdVI
1.000000000000000e-009	9.963808e-010
1.165914401179832e-009	1.161740e-009
1.359356390878526e-009	1.354535e-009
1.584893192461113e-009	1.579319e-009
1.847849797422291e-009	1.841398e-009
2.154434690031883e-009	2.146960e-009
2.511886431509580e-009	2.503220e-009
2.928644564625236e-009	2.918590e-009
3.414548873833601e-009	3.402876e-009
3.981071705534971e-009	3.967513e-009
4.641588833612776e-009	4.625831e-009
5.411695265464633e-009	5.393376e-009
6.309573444801928e-009	6.288267e-009
7.356422544596408e-009	7.331634e-009
8.576958985908935e-009	8.548112e-009
9.999999999999992e-009	9.966421e-009
1.165914401179831e-008	1.162005e-008
1.359356390878524e-008	1.354804e-008
1.584893192461112e-008	1.579591e-008
1.847849797422289e-008	1.841673e-008
2.154434690031881e-008	2.147240e-008
2.511886431509577e-008	2.503503e-008
2.928644564625233e-008	2.918877e-008
3.414548873833597e-008	3.403166e-008
3.981071705534967e-008	3.967806e-008
4.641588833612772e-008	4.626129e-008
5.411695265464629e-008	5.393676e-008
6.309573444801923e-008	6.288571e-008
7.356422544596402e-008	7.331942e-008
8.576958985908927e-008	8.548423e-008
9.999999999999982e-008	9.966736e-008
1.165914401179830e-007	1.162037e-007
1.359356390878523e-007	1.354836e-007
1.584893192461111e-007	1.579623e-007
1.847849797422288e-007	1.841706e-007
2.154434690031880e-007	2.147273e-007
2.511886431509575e-007	2.503537e-007
2.928644564625231e-007	2.918910e-007
3.414548873833595e-007	3.403200e-007
3.981071705534965e-007	3.967841e-007
4.641588833612770e-007	4.626164e-007
5.411695265464626e-007	5.393712e-007
6.309573444801919e-007	6.288607e-007
7.356422544596397e-007	7.331978e-007
8.576958985908922e-007	8.548460e-007
9.999999999999978e-007	9.966773e-007
1.165914401179829e-006	1.162040e-006
1.359356390878523e-006	1.354840e-006
1.584893192461110e-006	1.579627e-006
1.847849797422287e-006	1.841710e-006
2.154434690031878e-006	2.147277e-006
2.511886431509574e-006	2.503541e-006
2.928644564625229e-006	2.918914e-006
3.414548873833593e-006	3.403204e-006
3.981071705534962e-006	3.967845e-006
4.641588833612767e-006	4.626168e-006
5.411695265464622e-006	5.393716e-006
6.309573444801915e-006	6.288611e-006
7.356422544596393e-006	7.331982e-006
8.576958985908916e-006	8.548463e-006
9.999999999999970e-006	9.966776e-006
1.165914401179828e-005	1.162041e-005
1.359356390878521e-005	1.354840e-005
1.584893192461108e-005	1.579627e-005
1.847849797422285e-005	1.841710e-005
2.154434690031877e-005	2.147277e-005
2.511886431509572e-005	2.503541e-005
2.928644564625227e-005	2.918914e-005
3.414548873833590e-005	3.403204e-005
3.981071705534959e-005	3.967844e-005
4.641588833612763e-005	4.626166e-005
5.411695265464618e-005	5.393714e-005
6.309573444801910e-005	6.288608e-005
7.356422544596388e-005	7.331978e-005
8.576958985908910e-005	8.548458e-005
9.999999999999964e-005	9.966769e-005
1.165914401179827e-004	1.162040e-004
1.359356390878521e-004	1.354839e-004
1.584893192461108e-004	1.579626e-004
1.847849797422284e-004	1.841708e-004
2.154434690031876e-004	2.147273e-004
2.511886431509571e-004	2.503536e-004
2.928644564625226e-004	2.918908e-004
3.414548873833589e-004	3.403195e-004
3.981071705534957e-004	3.967833e-004
4.641588833612761e-004	4.626150e-004
5.411695265464616e-004	5.393692e-004
6.309573444801908e-004	6.288579e-004
7.356422544596385e-004	7.331938e-004
8.576958985908907e-004	8.548403e-004
9.999999999999959e-004	9.966695e-004
1.165914401179827e-003	1.162030e-003
1.359356390878520e-003	1.354825e-003
1.584893192461107e-003	1.579607e-003
1.847849797422283e-003	1.841683e-003
2.154434690031874e-003	2.147239e-003
2.511886431509569e-003	2.503489e-003
2.928644564625224e-003	2.918844e-003
3.414548873833587e-003	3.403109e-003
3.981071705534954e-003	3.967715e-003
4.641588833612757e-003	4.625991e-003
5.411695265464612e-003	5.393474e-003
6.309573444801903e-003	6.288283e-003
7.356422544596378e-003	7.331536e-003
8.576958985908901e-003	8.547857e-003
1.000000000000000e-002	9.965952e-003
