v1	VdIV
2.800000000000000e-001	2.800000e-001
2.850000000000000e-001	2.850000e-001
2.900000000000000e-001	2.900000e-001
2.950000000000000e-001	2.950000e-001
3.000000000000000e-001	3.000000e-001
3.050000000000001e-001	3.050000e-001
3.100000000000001e-001	3.100000e-001
3.150000000000001e-001	3.150000e-001
3.200000000000001e-001	3.200000e-001
3.250000000000001e-001	3.250000e-001
3.300000000000001e-001	3.300000e-001
3.350000000000001e-001	3.350000e-001
3.400000000000001e-001	3.400000e-001
3.450000000000001e-001	3.450000e-001
3.500000000000001e-001	3.500000e-001
3.550000000000001e-001	3.550000e-001
3.600000000000001e-001	3.600000e-001
3.650000000000001e-001	3.650000e-001
3.700000000000001e-001	3.700000e-001
3.750000000000001e-001	3.750000e-001
3.800000000000001e-001	3.800000e-001
3.850000000000001e-001	3.850000e-001
3.900000000000001e-001	3.900000e-001
3.950000000000001e-001	3.950000e-001
4.000000000000001e-001	4.000000e-001
4.050000000000001e-001	4.050000e-001
4.100000000000001e-001	4.100000e-001
4.150000000000002e-001	4.150000e-001
4.200000000000002e-001	4.200000e-001
4.250000000000002e-001	4.250000e-001
4.300000000000002e-001	4.300000e-001
4.350000000000002e-001	4.350000e-001
4.400000000000002e-001	4.400000e-001
4.450000000000002e-001	4.450000e-001
4.500000000000002e-001	4.500000e-001
4.550000000000002e-001	4.550000e-001
4.600000000000002e-001	4.600000e-001
4.650000000000002e-001	4.650000e-001
4.700000000000002e-001	4.700000e-001
4.750000000000002e-001	4.750000e-001
4.800000000000002e-001	4.800000e-001
4.850000000000002e-001	4.850000e-001
4.900000000000002e-001	4.900000e-001
4.950000000000002e-001	4.950000e-001
5.000000000000002e-001	5.000000e-001
5.050000000000002e-001	5.050000e-001
5.100000000000002e-001	5.100000e-001
5.150000000000002e-001	5.150000e-001
5.200000000000002e-001	5.200000e-001
5.250000000000002e-001	5.250000e-001
5.300000000000003e-001	5.300000e-001
5.350000000000003e-001	5.350000e-001
5.400000000000003e-001	5.400000e-001
5.450000000000003e-001	5.450000e-001
5.500000000000003e-001	5.500000e-001
5.550000000000003e-001	5.550000e-001
5.600000000000003e-001	5.600000e-001
5.650000000000003e-001	5.650000e-001
5.700000000000003e-001	5.700000e-001
5.750000000000003e-001	5.750000e-001
5.800000000000003e-001	5.800000e-001
5.850000000000003e-001	5.850000e-001
5.900000000000003e-001	5.900000e-001
5.950000000000003e-001	5.950000e-001
6.000000000000003e-001	6.000000e-001
6.050000000000003e-001	6.050000e-001
6.100000000000003e-001	6.100000e-001
6.150000000000003e-001	6.150000e-001
6.200000000000003e-001	6.200000e-001
6.250000000000003e-001	6.250000e-001
6.300000000000003e-001	6.300000e-001
6.350000000000003e-001	6.350000e-001
6.400000000000004e-001	6.400000e-001
6.450000000000004e-001	6.450000e-001
6.500000000000004e-001	6.500000e-001
6.550000000000004e-001	6.550000e-001
6.600000000000004e-001	6.600000e-001
6.650000000000004e-001	6.650000e-001
6.700000000000004e-001	6.700000e-001
6.750000000000004e-001	6.750000e-001
6.800000000000004e-001	6.800000e-001
6.850000000000004e-001	6.850000e-001
6.900000000000004e-001	6.900000e-001
6.950000000000004e-001	6.950000e-001
7.000000000000004e-001	7.000000e-001
7.050000000000004e-001	7.050000e-001
7.100000000000004e-001	7.100000e-001
7.150000000000004e-001	7.150000e-001
7.200000000000000e-001	7.200000e-001
