I1	VdVI
1.000000000000000e-009	2.976878e-001
1.165914401179832e-009	3.016611e-001
1.359356390878526e-009	3.056304e-001
1.584893192461113e-009	3.096016e-001
1.847849797422291e-009	3.135726e-001
2.154434690031883e-009	3.175436e-001
2.511886431509580e-009	3.215145e-001
2.928644564625236e-009	3.254853e-001
3.414548873833601e-009	3.294561e-001
3.981071705534971e-009	3.334269e-001
4.641588833612776e-009	3.373975e-001
5.411695265464633e-009	3.413682e-001
6.309573444801928e-009	3.453388e-001
7.356422544596408e-009	3.493094e-001
8.576958985908935e-009	3.532800e-001
9.999999999999992e-009	3.572506e-001
1.165914401179831e-008	3.612211e-001
1.359356390878524e-008	3.651916e-001
1.584893192461112e-008	3.691621e-001
1.847849797422289e-008	3.731326e-001
2.154434690031881e-008	3.771031e-001
2.511886431509577e-008	3.810736e-001
2.928644564625233e-008	3.850440e-001
3.414548873833597e-008	3.890145e-001
3.981071705534967e-008	3.929850e-001
4.641588833612772e-008	3.969554e-001
5.411695265464629e-008	4.009259e-001
6.309573444801923e-008	4.048963e-001
7.356422544596402e-008	4.088668e-001
8.576958985908927e-008	4.128372e-001
9.999999999999982e-008	4.168076e-001
1.165914401179830e-007	4.207781e-001
1.359356390878523e-007	4.247485e-001
1.584893192461111e-007	4.287189e-001
1.847849797422288e-007	4.326894e-001
2.154434690031880e-007	4.366598e-001
2.511886431509575e-007	4.406302e-001
2.928644564625231e-007	4.446007e-001
3.414548873833595e-007	4.485711e-001
3.981071705534965e-007	4.525415e-001
4.641588833612770e-007	4.565120e-001
5.411695265464626e-007	4.604824e-001
6.309573444801919e-007	4.644528e-001
7.356422544596397e-007	4.684233e-001
8.576958985908922e-007	4.723937e-001
9.999999999999978e-007	4.763642e-001
1.165914401179829e-006	4.803346e-001
1.359356390878523e-006	4.843051e-001
1.584893192461110e-006	4.882756e-001
1.847849797422287e-006	4.922461e-001
2.154434690031878e-006	4.962165e-001
2.511886431509574e-006	5.001870e-001
2.928644564625229e-006	5.041575e-001
3.414548873833593e-006	5.081281e-001
3.981071705534962e-006	5.120986e-001
4.641588833612767e-006	5.160692e-001
5.411695265464622e-006	5.200398e-001
6.309573444801915e-006	5.240104e-001
7.356422544596393e-006	5.279811e-001
8.576958985908916e-006	5.319518e-001
9.999999999999970e-006	5.359225e-001
1.165914401179828e-005	5.398933e-001
1.359356390878521e-005	5.438642e-001
1.584893192461108e-005	5.478351e-001
1.847849797422285e-005	5.518062e-001
2.154434690031877e-005	5.557773e-001
2.511886431509572e-005	5.597485e-001
2.928644564625227e-005	5.637199e-001
3.414548873833590e-005	5.676914e-001
3.981071705534959e-005	5.716631e-001
4.641588833612763e-005	5.756351e-001
5.411695265464618e-005	5.796073e-001
6.309573444801910e-005	5.835798e-001
7.356422544596388e-005	5.875526e-001
8.576958985908910e-005	5.915259e-001
9.999999999999964e-005	5.954996e-001
1.165914401179827e-004	5.994738e-001
1.359356390878521e-004	6.034487e-001
1.584893192461108e-004	6.074243e-001
1.847849797422284e-004	6.114008e-001
2.154434690031876e-004	6.153783e-001
2.511886431509571e-004	6.193569e-001
2.928644564625226e-004	6.233370e-001
3.414548873833589e-004	6.273186e-001
3.981071705534957e-004	6.313021e-001
4.641588833612761e-004	6.352878e-001
5.411695265464616e-004	6.392759e-001
6.309573444801908e-004	6.432671e-001
7.356422544596385e-004	6.472616e-001
8.576958985908907e-004	6.512603e-001
9.999999999999959e-004	6.552635e-001
1.165914401179827e-003	6.592723e-001
1.359356390878520e-003	6.632873e-001
1.584893192461107e-003	6.673098e-001
1.847849797422283e-003	6.713409e-001
2.154434690031874e-003	6.753822e-001
2.511886431509569e-003	6.794353e-001
2.928644564625224e-003	6.835020e-001
3.414548873833587e-003	6.875848e-001
3.981071705534954e-003	6.916862e-001
4.641588833612757e-003	6.958095e-001
5.411695265464612e-003	6.999582e-001
6.309573444801903e-003	7.041367e-001
7.356422544596378e-003	7.083498e-001
8.576958985908901e-003	7.126034e-001
1.000000000000000e-002	7.169044e-001
