v_in	IdIV
Step Information: R=100  (Run: 1/3)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	5.911938e-014
1.000000000000000e-001	4.676814e-013
1.500000000000000e-001	3.291256e-012
2.000000000000000e-001	2.280204e-011
2.500000000000000e-001	1.576467e-010
3.000000000000000e-001	1.089554e-009
3.500000000000000e-001	7.529798e-009
4.000000000000000e-001	5.202967e-008
4.500000000000000e-001	3.591492e-007
4.999999999999999e-001	2.461879e-006
5.499999999999999e-001	1.613332e-005
6.000000000000000e-001	8.522985e-005
6.500000000000000e-001	2.781790e-004
7.000000000000001e-001	5.844313e-004
7.500000000000001e-001	9.552484e-004
8.000000000000002e-001	1.361321e-003
8.500000000000002e-001	1.788329e-003
9.000000000000002e-001	2.228867e-003
9.500000000000003e-001	2.678750e-003
1.000000000000000e+000	3.135430e-003
1.050000000000000e+000	3.597253e-003
1.100000000000000e+000	4.063091e-003
1.150000000000000e+000	4.532146e-003
1.200000000000000e+000	5.003831e-003
1.250000000000000e+000	5.477705e-003
1.300000000000001e+000	5.953426e-003
1.350000000000001e+000	6.430728e-003
1.400000000000001e+000	6.909395e-003
1.450000000000001e+000	7.389253e-003
1.500000000000001e+000	7.870160e-003
1.550000000000001e+000	8.351997e-003
1.600000000000001e+000	8.834661e-003
1.650000000000001e+000	9.318070e-003
1.700000000000001e+000	9.802151e-003
1.750000000000001e+000	1.028684e-002
1.800000000000001e+000	1.077208e-002
1.850000000000001e+000	1.125783e-002
1.900000000000001e+000	1.174404e-002
1.950000000000001e+000	1.223068e-002
2.000000000000001e+000	1.271772e-002
2.050000000000001e+000	1.320512e-002
2.100000000000001e+000	1.369286e-002
2.150000000000000e+000	1.418092e-002
2.200000000000000e+000	1.466928e-002
2.250000000000000e+000	1.515791e-002
2.300000000000000e+000	1.564679e-002
2.350000000000000e+000	1.613593e-002
2.400000000000000e+000	1.662529e-002
2.449999999999999e+000	1.711486e-002
2.499999999999999e+000	1.760464e-002
2.549999999999999e+000	1.809461e-002
2.599999999999999e+000	1.858476e-002
2.649999999999999e+000	1.907508e-002
2.699999999999998e+000	1.956557e-002
2.749999999999998e+000	2.005621e-002
2.799999999999998e+000	2.054700e-002
2.849999999999998e+000	2.103793e-002
2.899999999999998e+000	2.152899e-002
2.949999999999998e+000	2.202019e-002
3.000000000000000e+000	2.251150e-002
Step Information: R=1K  (Run: 2/3)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	5.911938e-014
1.000000000000000e-001	4.676814e-013
1.500000000000000e-001	3.291256e-012
2.000000000000000e-001	2.280204e-011
2.500000000000000e-001	1.576456e-010
3.000000000000000e-001	1.089511e-009
3.500000000000000e-001	7.527820e-009
4.000000000000000e-001	5.193544e-008
4.500000000000000e-001	3.547349e-007
4.999999999999999e-001	2.275515e-006
5.499999999999999e-001	1.114652e-005
6.000000000000000e-001	3.299737e-005
6.500000000000000e-001	6.524834e-005
7.000000000000001e-001	1.032436e-004
7.500000000000001e-001	1.444163e-004
8.000000000000002e-001	1.875085e-004
8.500000000000002e-001	2.318590e-004
9.000000000000002e-001	2.770883e-004
9.500000000000003e-001	3.229621e-004
1.000000000000000e+000	3.693268e-004
1.050000000000000e+000	4.160770e-004
1.100000000000000e+000	4.631374e-004
1.150000000000000e+000	5.104523e-004
1.200000000000000e+000	5.579798e-004
1.250000000000000e+000	6.056873e-004
1.300000000000001e+000	6.535490e-004
1.350000000000001e+000	7.015444e-004
1.400000000000001e+000	7.496566e-004
1.450000000000001e+000	7.978719e-004
1.500000000000001e+000	8.461786e-004
1.550000000000001e+000	8.945671e-004
1.600000000000001e+000	9.430290e-004
1.650000000000001e+000	9.915573e-004
1.700000000000001e+000	1.040146e-003
1.750000000000001e+000	1.088789e-003
1.800000000000001e+000	1.137483e-003
1.850000000000001e+000	1.186223e-003
1.900000000000001e+000	1.235006e-003
1.950000000000001e+000	1.283828e-003
2.000000000000001e+000	1.332687e-003
2.050000000000001e+000	1.381580e-003
2.100000000000001e+000	1.430504e-003
2.150000000000000e+000	1.479458e-003
2.200000000000000e+000	1.528439e-003
2.250000000000000e+000	1.577447e-003
2.300000000000000e+000	1.626479e-003
2.350000000000000e+000	1.675535e-003
2.400000000000000e+000	1.724612e-003
2.449999999999999e+000	1.773709e-003
2.499999999999999e+000	1.822826e-003
2.549999999999999e+000	1.871961e-003
2.599999999999999e+000	1.921114e-003
2.649999999999999e+000	1.970283e-003
2.699999999999998e+000	2.019469e-003
2.749999999999998e+000	2.068669e-003
2.799999999999998e+000	2.117884e-003
2.849999999999998e+000	2.167112e-003
2.899999999999998e+000	2.216354e-003
2.949999999999998e+000	2.265608e-003
3.000000000000000e+000	2.314874e-003
Step Information: R=10K  (Run: 3/3)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	5.911938e-014
1.000000000000000e-001	4.676814e-013
1.500000000000000e-001	3.290701e-012
2.000000000000000e-001	2.280204e-011
2.500000000000000e-001	1.576370e-010
3.000000000000000e-001	1.089097e-009
3.500000000000000e-001	7.508119e-009
4.000000000000000e-001	5.102034e-008
4.500000000000000e-001	3.179219e-007
4.999999999999999e-001	1.428248e-006
5.499999999999999e-001	3.853157e-006
6.000000000000000e-001	7.218262e-006
6.500000000000000e-001	1.109368e-005
7.000000000000001e-001	1.525568e-005
7.500000000000001e-001	1.959384e-005
8.000000000000002e-001	2.404898e-005
8.500000000000002e-001	2.858667e-005
9.000000000000002e-001	3.318541e-005
9.500000000000003e-001	3.783094e-005
1.000000000000000e+000	4.251339e-005
1.050000000000000e+000	4.722568e-005
1.100000000000000e+000	5.196255e-005
1.150000000000000e+000	5.671999e-005
1.200000000000000e+000	6.149490e-005
1.250000000000000e+000	6.628481e-005
1.300000000000001e+000	7.108775e-005
1.350000000000001e+000	7.590209e-005
1.400000000000001e+000	8.072651e-005
1.450000000000001e+000	8.555988e-005
1.500000000000001e+000	9.040126e-005
1.550000000000001e+000	9.524984e-005
1.600000000000001e+000	1.001049e-004
1.650000000000001e+000	1.049660e-004
1.700000000000001e+000	1.098324e-004
1.750000000000001e+000	1.147038e-004
1.800000000000001e+000	1.195798e-004
1.850000000000001e+000	1.244599e-004
1.900000000000001e+000	1.293439e-004
1.950000000000001e+000	1.342316e-004
2.000000000000001e+000	1.391226e-004
2.050000000000001e+000	1.440167e-004
2.100000000000001e+000	1.489138e-004
2.150000000000000e+000	1.538136e-004
2.200000000000000e+000	1.587160e-004
2.250000000000000e+000	1.636208e-004
2.300000000000000e+000	1.685279e-004
2.350000000000000e+000	1.734371e-004
2.400000000000000e+000	1.783484e-004
2.449999999999999e+000	1.832616e-004
2.499999999999999e+000	1.881766e-004
2.549999999999999e+000	1.930934e-004
2.599999999999999e+000	1.980118e-004
2.649999999999999e+000	2.029318e-004
2.699999999999998e+000	2.078533e-004
2.749999999999998e+000	2.127762e-004
2.799999999999998e+000	2.177005e-004
2.849999999999998e+000	2.226261e-004
2.899999999999998e+000	2.275529e-004
2.949999999999998e+000	2.324809e-004
3.000000000000000e+000	2.374101e-004
