v_in	IinIV
Step Information: R=100  (Run: 1/3)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.093725e-013
1.000000000000000e-001	5.693302e-013
1.500000000000000e-001	3.452183e-012
2.000000000000000e-001	2.307847e-011
2.500000000000000e-001	1.584227e-010
3.000000000000000e-001	1.093486e-009
3.500000000000000e-001	7.555249e-009
4.000000000000000e-001	5.220350e-008
4.500000000000000e-001	3.603469e-007
4.999999999999999e-001	2.470086e-006
5.499999999999999e-001	1.618710e-005
6.000000000000000e-001	8.551401e-005
6.500000000000000e-001	2.791069e-004
7.000000000000001e-001	5.863822e-004
7.500000000000001e-001	9.584401e-004
8.000000000000002e-001	1.365875e-003
8.500000000000002e-001	1.794317e-003
9.000000000000002e-001	2.236338e-003
9.500000000000003e-001	2.687739e-003
1.000000000000000e+000	3.145963e-003
1.050000000000000e+000	3.609351e-003
1.100000000000000e+000	4.076772e-003
1.150000000000000e+000	4.547424e-003
1.200000000000000e+000	5.020719e-003
1.250000000000000e+000	5.496214e-003
1.300000000000001e+000	5.973566e-003
1.350000000000001e+000	6.452508e-003
1.400000000000001e+000	6.932824e-003
1.450000000000001e+000	7.414340e-003
1.500000000000001e+000	7.896910e-003
1.550000000000001e+000	8.380418e-003
1.600000000000001e+000	8.864760e-003
1.650000000000001e+000	9.349854e-003
1.700000000000001e+000	9.835625e-003
1.750000000000001e+000	1.032201e-002
1.800000000000001e+000	1.080895e-002
1.850000000000001e+000	1.129641e-002
1.900000000000001e+000	1.178434e-002
1.950000000000001e+000	1.227270e-002
2.000000000000001e+000	1.276146e-002
2.050000000000001e+000	1.325059e-002
2.100000000000001e+000	1.374007e-002
2.150000000000000e+000	1.422987e-002
2.200000000000000e+000	1.471997e-002
2.250000000000000e+000	1.521035e-002
2.300000000000000e+000	1.570099e-002
2.350000000000000e+000	1.619188e-002
2.400000000000000e+000	1.668301e-002
2.449999999999999e+000	1.717435e-002
2.499999999999999e+000	1.766590e-002
2.549999999999999e+000	1.815765e-002
2.599999999999999e+000	1.864959e-002
2.649999999999999e+000	1.914170e-002
2.699999999999998e+000	1.963398e-002
2.749999999999998e+000	2.012642e-002
2.799999999999998e+000	2.061901e-002
2.849999999999998e+000	2.111175e-002
2.899999999999998e+000	2.160462e-002
2.949999999999998e+000	2.209763e-002
3.000000000000000e+000	2.259076e-002
Step Information: R=1K  (Run: 2/3)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.093554e-013
1.000000000000000e-001	5.692962e-013
1.500000000000000e-001	3.452134e-012
2.000000000000000e-001	2.307852e-011
2.500000000000000e-001	1.584213e-010
3.000000000000000e-001	1.093443e-009
3.500000000000000e-001	7.553263e-009
4.000000000000000e-001	5.210896e-008
4.500000000000000e-001	3.559178e-007
4.999999999999999e-001	2.283101e-006
5.499999999999999e-001	1.118368e-005
6.000000000000000e-001	3.310737e-005
6.500000000000000e-001	6.546587e-005
7.000000000000001e-001	1.035879e-004
7.500000000000001e-001	1.448978e-004
8.000000000000002e-001	1.881338e-004
8.500000000000002e-001	2.326323e-004
9.000000000000002e-001	2.780126e-004
9.500000000000003e-001	3.240395e-004
1.000000000000000e+000	3.705590e-004
1.050000000000000e+000	4.174654e-004
1.100000000000000e+000	4.646830e-004
1.150000000000000e+000	5.121560e-004
1.200000000000000e+000	5.598423e-004
1.250000000000000e+000	6.077093e-004
1.300000000000001e+000	6.557311e-004
1.350000000000001e+000	7.038870e-004
1.400000000000001e+000	7.521602e-004
1.450000000000001e+000	8.005368e-004
1.500000000000001e+000	8.490052e-004
1.550000000000001e+000	8.975556e-004
1.600000000000001e+000	9.461798e-004
1.650000000000001e+000	9.948707e-004
1.700000000000001e+000	1.043622e-003
1.750000000000001e+000	1.092429e-003
1.800000000000001e+000	1.141286e-003
1.850000000000001e+000	1.190189e-003
1.900000000000001e+000	1.239136e-003
1.950000000000001e+000	1.288121e-003
2.000000000000001e+000	1.337144e-003
2.050000000000001e+000	1.386201e-003
2.100000000000001e+000	1.435289e-003
2.150000000000000e+000	1.484408e-003
2.200000000000000e+000	1.533554e-003
2.250000000000000e+000	1.582726e-003
2.300000000000000e+000	1.631923e-003
2.350000000000000e+000	1.681143e-003
2.400000000000000e+000	1.730385e-003
2.449999999999999e+000	1.779648e-003
2.499999999999999e+000	1.828930e-003
2.549999999999999e+000	1.878230e-003
2.599999999999999e+000	1.927548e-003
2.649999999999999e+000	1.976883e-003
2.699999999999998e+000	2.026234e-003
2.749999999999998e+000	2.075600e-003
2.799999999999998e+000	2.124981e-003
2.849999999999998e+000	2.174375e-003
2.899999999999998e+000	2.223782e-003
2.949999999999998e+000	2.273202e-003
3.000000000000000e+000	2.322634e-003
Step Information: R=10K  (Run: 3/3)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	1.093714e-013
1.000000000000000e-001	5.693286e-013
1.500000000000000e-001	3.451935e-012
2.000000000000000e-001	2.307840e-011
2.500000000000000e-001	1.584125e-010
3.000000000000000e-001	1.093028e-009
3.500000000000000e-001	7.533496e-009
4.000000000000000e-001	5.119081e-008
4.500000000000000e-001	3.189820e-007
4.999999999999999e-001	1.433010e-006
5.499999999999999e-001	3.866002e-006
6.000000000000000e-001	7.242325e-006
6.500000000000000e-001	1.113066e-005
7.000000000000001e-001	1.530653e-005
7.500000000000001e-001	1.965915e-005
8.000000000000002e-001	2.412914e-005
8.500000000000002e-001	2.868197e-005
9.000000000000002e-001	3.329604e-005
9.500000000000003e-001	3.795705e-005
1.000000000000000e+000	4.265512e-005
1.050000000000000e+000	4.738312e-005
1.100000000000000e+000	5.213578e-005
1.150000000000000e+000	5.690908e-005
1.200000000000000e+000	6.169992e-005
1.250000000000000e+000	6.650580e-005
1.300000000000001e+000	7.132475e-005
1.350000000000001e+000	7.615515e-005
1.400000000000001e+000	8.099565e-005
1.450000000000001e+000	8.584514e-005
1.500000000000001e+000	9.070266e-005
1.550000000000001e+000	9.556741e-005
1.600000000000001e+000	1.004387e-004
1.650000000000001e+000	1.053160e-004
1.700000000000001e+000	1.101986e-004
1.750000000000001e+000	1.150863e-004
1.800000000000001e+000	1.199785e-004
1.850000000000001e+000	1.248749e-004
1.900000000000001e+000	1.297752e-004
1.950000000000001e+000	1.346792e-004
2.000000000000001e+000	1.395865e-004
2.050000000000001e+000	1.444970e-004
2.100000000000001e+000	1.494104e-004
2.150000000000000e+000	1.543265e-004
2.200000000000000e+000	1.592452e-004
2.250000000000000e+000	1.641664e-004
2.300000000000000e+000	1.690899e-004
2.350000000000000e+000	1.740155e-004
2.400000000000000e+000	1.789431e-004
2.449999999999999e+000	1.838727e-004
2.499999999999999e+000	1.888042e-004
2.549999999999999e+000	1.937373e-004
2.599999999999999e+000	1.986722e-004
2.649999999999999e+000	2.036086e-004
2.699999999999998e+000	2.085465e-004
2.749999999999998e+000	2.134858e-004
2.799999999999998e+000	2.184265e-004
2.849999999999998e+000	2.233686e-004
2.899999999999998e+000	2.283118e-004
2.949999999999998e+000	2.332563e-004
3.000000000000000e+000	2.382019e-004
