v_in	VdIV
Step Information: R=100  (Run: 1/3)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	5.000000e-002
1.000000000000000e-001	1.000000e-001
1.500000000000000e-001	1.500000e-001
2.000000000000000e-001	2.000000e-001
2.500000000000000e-001	2.500000e-001
3.000000000000000e-001	2.999999e-001
3.500000000000000e-001	3.499992e-001
4.000000000000000e-001	3.999948e-001
4.500000000000000e-001	4.499640e-001
4.999999999999999e-001	4.997530e-001
5.499999999999999e-001	5.483829e-001
6.000000000000000e-001	5.914487e-001
6.500000000000000e-001	6.221161e-001
7.000000000000001e-001	6.414005e-001
7.500000000000001e-001	6.541619e-001
8.000000000000002e-001	6.634132e-001
8.500000000000002e-001	6.706406e-001
9.000000000000002e-001	6.764044e-001
9.500000000000003e-001	6.812414e-001
1.000000000000000e+000	6.854116e-001
1.050000000000000e+000	6.890696e-001
1.100000000000000e+000	6.923257e-001
1.150000000000000e+000	6.952595e-001
1.200000000000000e+000	6.979293e-001
1.250000000000000e+000	7.003795e-001
1.300000000000001e+000	7.026440e-001
1.350000000000001e+000	7.047496e-001
1.400000000000001e+000	7.067180e-001
1.450000000000001e+000	7.085663e-001
1.500000000000001e+000	7.103091e-001
1.550000000000001e+000	7.119584e-001
1.600000000000001e+000	7.135240e-001
1.650000000000001e+000	7.150147e-001
1.700000000000001e+000	7.164376e-001
1.750000000000001e+000	7.177991e-001
1.800000000000001e+000	7.191046e-001
1.850000000000001e+000	7.203588e-001
1.900000000000001e+000	7.215661e-001
1.950000000000001e+000	7.227300e-001
2.000000000000001e+000	7.238539e-001
2.050000000000001e+000	7.249407e-001
2.100000000000001e+000	7.259930e-001
2.150000000000000e+000	7.270132e-001
2.200000000000000e+000	7.280033e-001
2.250000000000000e+000	7.289653e-001
2.300000000000000e+000	7.299010e-001
2.350000000000000e+000	7.308118e-001
2.400000000000000e+000	7.316994e-001
2.449999999999999e+000	7.325650e-001
2.499999999999999e+000	7.334098e-001
2.549999999999999e+000	7.342349e-001
2.599999999999999e+000	7.350414e-001
2.649999999999999e+000	7.358302e-001
2.699999999999998e+000	7.366022e-001
2.749999999999998e+000	7.373582e-001
2.799999999999998e+000	7.380990e-001
2.849999999999998e+000	7.388254e-001
2.899999999999998e+000	7.395378e-001
2.949999999999998e+000	7.402371e-001
3.000000000000000e+000	7.409236e-001
Step Information: R=1K  (Run: 2/3)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	5.000000e-002
1.000000000000000e-001	1.000000e-001
1.500000000000000e-001	1.500000e-001
2.000000000000000e-001	2.000000e-001
2.500000000000000e-001	2.499998e-001
3.000000000000000e-001	2.999989e-001
3.500000000000000e-001	3.499925e-001
4.000000000000000e-001	3.999479e-001
4.500000000000000e-001	4.496441e-001
4.999999999999999e-001	4.977169e-001
5.499999999999999e-001	5.388169e-001
6.000000000000000e-001	5.668926e-001
6.500000000000000e-001	5.845636e-001
7.000000000000001e-001	5.964161e-001
7.500000000000001e-001	6.051026e-001
8.000000000000002e-001	6.119279e-001
8.500000000000002e-001	6.174006e-001
9.000000000000002e-001	6.220012e-001
9.500000000000003e-001	6.259679e-001
1.000000000000000e+000	6.294454e-001
1.050000000000000e+000	6.325374e-001
1.100000000000000e+000	6.353188e-001
1.150000000000000e+000	6.378452e-001
1.200000000000000e+000	6.401585e-001
1.250000000000000e+000	6.422913e-001
1.300000000000001e+000	6.442693e-001
1.350000000000001e+000	6.461133e-001
1.400000000000001e+000	6.478401e-001
1.450000000000001e+000	6.494634e-001
1.500000000000001e+000	6.509950e-001
1.550000000000001e+000	6.524445e-001
1.600000000000001e+000	6.538203e-001
1.650000000000001e+000	6.551294e-001
1.700000000000001e+000	6.563780e-001
1.750000000000001e+000	6.575714e-001
1.800000000000001e+000	6.587144e-001
1.850000000000001e+000	6.598108e-001
1.900000000000001e+000	6.608645e-001
1.950000000000001e+000	6.618786e-001
2.000000000000001e+000	6.628560e-001
2.050000000000001e+000	6.637993e-001
2.100000000000001e+000	6.647108e-001
2.150000000000000e+000	6.655924e-001
2.200000000000000e+000	6.664463e-001
2.250000000000000e+000	6.672739e-001
2.300000000000000e+000	6.680771e-001
2.350000000000000e+000	6.688570e-001
2.400000000000000e+000	6.696151e-001
2.449999999999999e+000	6.703525e-001
2.499999999999999e+000	6.710704e-001
2.549999999999999e+000	6.717698e-001
2.599999999999999e+000	6.724516e-001
2.649999999999999e+000	6.731166e-001
2.699999999999998e+000	6.737658e-001
2.749999999999998e+000	6.743998e-001
2.799999999999998e+000	6.750194e-001
2.849999999999998e+000	6.756251e-001
2.899999999999998e+000	6.762177e-001
2.949999999999998e+000	6.767976e-001
3.000000000000000e+000	6.773654e-001
Step Information: R=10K  (Run: 3/3)
0.000000000000000e+000	0.000000e+000
5.000000000000000e-002	5.000000e-002
1.000000000000000e-001	9.999999e-002
1.500000000000000e-001	1.500000e-001
2.000000000000000e-001	1.999998e-001
2.500000000000000e-001	2.499984e-001
3.000000000000000e-001	2.999891e-001
3.500000000000000e-001	3.499247e-001
4.000000000000000e-001	3.994882e-001
4.500000000000000e-001	4.468102e-001
4.999999999999999e-001	4.856719e-001
5.499999999999999e-001	5.113400e-001
6.000000000000000e-001	5.275980e-001
6.500000000000000e-001	5.386960e-001
7.000000000000001e-001	5.470667e-001
7.500000000000001e-001	5.534775e-001
8.000000000000002e-001	5.587326e-001
8.500000000000002e-001	5.631918e-001
9.000000000000002e-001	5.670463e-001
9.500000000000003e-001	5.704335e-001
1.000000000000000e+000	5.734513e-001
1.050000000000000e+000	5.761704e-001
1.100000000000000e+000	5.786433e-001
1.150000000000000e+000	5.809099e-001
1.200000000000000e+000	5.830014e-001
1.250000000000000e+000	5.849424e-001
1.300000000000001e+000	5.867528e-001
1.350000000000001e+000	5.884488e-001
1.400000000000001e+000	5.900437e-001
1.450000000000001e+000	5.915488e-001
1.500000000000001e+000	5.929735e-001
1.550000000000001e+000	5.943260e-001
1.600000000000001e+000	5.956129e-001
1.650000000000001e+000	5.968405e-001
1.700000000000001e+000	5.980138e-001
1.750000000000001e+000	5.991374e-001
1.800000000000001e+000	6.002153e-001
1.850000000000001e+000	6.012510e-001
1.900000000000001e+000	6.022477e-001
1.950000000000001e+000	6.032082e-001
2.000000000000001e+000	6.041350e-001
2.050000000000001e+000	6.050304e-001
2.100000000000001e+000	6.058964e-001
2.150000000000000e+000	6.067349e-001
2.200000000000000e+000	6.075475e-001
2.250000000000000e+000	6.083359e-001
2.300000000000000e+000	6.091014e-001
2.350000000000000e+000	6.098452e-001
2.400000000000000e+000	6.105685e-001
2.449999999999999e+000	6.112726e-001
2.499999999999999e+000	6.119583e-001
2.549999999999999e+000	6.126266e-001
2.599999999999999e+000	6.132783e-001
2.649999999999999e+000	6.139142e-001
2.699999999999998e+000	6.145351e-001
2.749999999999998e+000	6.151417e-001
2.799999999999998e+000	6.157346e-001
2.849999999999998e+000	6.163145e-001
2.899999999999998e+000	6.168818e-001
2.949999999999998e+000	6.174371e-001
3.000000000000000e+000	6.179809e-001
